Category,Name,Url,Image
Flyweight,Manny Vazquez,/fighter/manny-Vazquez,//media.ufc.tv/fighter_images/Manny_Vazquez/VASQUEZ_MANNY.png
Bantamweight,Iuri Alcantara,/fighter/iuri-Alcantara,//media.ufc.tv/fighter_images/Iuri_Alcantara/ALCANTARA_IURI_UFC212.png
Bantamweight,Thomas Almeida,/fighter/thomas-almeida,//media.ufc.tv/fighter_images/Thomas_Almeida/ALMEIDA_THOMAS.png
Bantamweight,Raphael Assuncao,/fighter/raphael-Assuncao,//media.ufc.tv/fighter_images/Raphael_Assuncao/ASSUNCAO_RAPHAEL.png
Bantamweight,Raoni Barcelos,/fighter/raoni-Barcelos,//media.ufc.tv/fighter_images//ComingSoon/comingsoon_headshot_odopod.png
Bantamweight,Henry Briones,/fighter/henry-briones,//media.ufc.tv/fighter_images/Henry_Briones/BRIONES_HENRY.png
Bantamweight,Guido Cannetti,/fighter/guido-cannetti,//media.ufc.tv/fighter_images/Guido_Canetti/CANNETTI_GUIDO.png
Bantamweight,Bryan Caraway,/fighter/bryan-Caraway,//media.ufc.tv/fighter_images//Bryan_Caraway/CARAWAY_BRYAN.png
Bantamweight,John Castaneda,/fighter/john-Castaneda,//media.ufc.tv/fighter_images/John_Castaned/CASTANEDA_JOHN.png
Bantamweight,Dominick Cruz,/fighter/dominick-Cruz,//media.ufc.tv/fighter_images/Dominick_Cruz/DominickCruz_Headshot.png
Bantamweight,TJ Dillashaw,/fighter/TJ-Dillashaw,//media.ufc.tv/fighter_images/TJ_Dillashaw/DILLASHAW_TJ.png
Bantamweight,John Dodson,/fighter/john-Dodson,//media.ufc.tv/fighter_images/John_Dodson/DODSON_JOHN.png
Bantamweight,Tom Duquesnoy,/fighter/tom-Duquesnoy,//media.ufc.tv/fighter_images/Tom_Duquesnoy/DUQUESNOY_TOM.png
Bantamweight,Merab Dvalishvili,/fighter/merab-Dvalishvili,//media.ufc.tv/fighter_images//ComingSoon/comingsoon_headshot_odopod.png
Bantamweight,Johnny Eduardo,/fighter/johnny-Eduardo,//media.ufc.tv/fighter_images/Johnny_Eduardo/EDUARDO_JOHNNY_ufc212.png
Bantamweight,Rob Font,/fighter/rob-Font,//media.ufc.tv/fighter_images/Rob_Font/FONT_ROB.png
Bantamweight,Donavon Frelow,/fighter/donavon-Frelow,//media.ufc.tv/fighter_images/Donovan_Frelow/FRELOW_DONOVAN.png
Bantamweight,Mitch Gagnon,/fighter/mitch-Gagnon,//media.ufc.tv/fighter_images/Mitch_Gagnon/GAGNON_MITCH.png
Bantamweight,Cody Garbrandt,/fighter/cody-garbrandt,//media.ufc.tv/fighter_images/Cody_Garbrandt/GARBRANDT_CODY.png
Bantamweight,Davey Grant,/fighter/david-Grant,//media.ufc.tv/fighter_images/David_Grant/GRANT_DAVEY.png
Bantamweight,James Gray,/fighter/james-Gray,//media.ufc.tv/fighter_images/James_Gray/GRAY_JAMES.png
Bantamweight,Chris  Holdsworth,/fighter/chris-Holdsworth,//media.ufc.tv/fighter_images/Chris_Holdsworth/ChrisHoldsworth_Headshot.png
Bantamweight,Brett Johns,/fighter/brett-johns,//media.ufc.tv/fighter_images/Brett_Johns/JOHNS_BRETT.png
Bantamweight,Bharat Kandare,/fighter/bharat-Kandare,//media.ufc.tv/fighter_images/Bharat_Kandare/KHANDARE_BHARAT.png
Bantamweight,Kyung Ho Kang,/fighter/kyung-Ho-Kang,//media.ufc.tv/fighter_images/Kyung_Ho_Kang/KyungHoKang_Headshot.png
Bantamweight,Brian Kelleher,/fighter/brian-Kelleher,//media.ufc.tv/fighter_images/Brian_Kelleher/KELLEHER_BRIAN.png
Bantamweight,Alfred  Khashakyan,/fighter/alfred-Khashakyan,//media.ufc.tv/fighter_images/Alfred_Khashakyan/KHASHAKYAN_ALFRED.png
Bantamweight,Kwan Ho Kwak,/fighter/kwan-ho-kwak,//media.ufc.tv/fighter_images/Kwan_Ho_Kwak/KWAK_KWAN_HO_singapore.png
Bantamweight,Cheyden  Leialoha,/fighter/cheyden-Leialoha,//media.ufc.tv/fighter_images/Cheyden_Leialoha/LEIALOHA_CHEYDEN.png
Bantamweight,John Lineker,/fighter/john-Lineker,//media.ufc.tv/fighter_images/John_Lineker/LINEKER_JOHN.png
Bantamweight,Pingyuan Liu,/fighter/pingyuan-Liu,//media.ufc.tv/fighter_images//ComingSoon/comingsoon_headshot_odopod.png
Bantamweight,Benito Lopez,/fighter/benito-Lopez,//media.ufc.tv/fighter_images/Benito_Lopez/LOPEZ_BENITO.png
Bantamweight,Matthew Lopez,/fighter/matthew-lopez,//media.ufc.tv/fighter_images/Matthew_Lopez/LOPEZ_MATT.png
Bantamweight,Augusto Mendes,/fighter/augusto-Mendes,//media.ufc.tv/fighter_images/Augusto_Mendes/MENDES_AUGUSTO.png
Bantamweight,Marlon Moraes,/fighter/marlon-moraes,//media.ufc.tv/fighter_images/Marlon_Moraes/MORAES_MARLON.png
Bantamweight,Albert Morales,/fighter/albert-Morales,//media.ufc.tv/fighter_images/Albert_Morales/MORALES_ALBERT.png
Bantamweight,Pedro Munhoz,/fighter/pedro-Munhoz,//media.ufc.tv/fighter_images/Pedro_Munhoz/MUNHOZ_PEDRO.png
Bantamweight,Sean O'Malley,/fighter/sean-O-Malley,//media.ufc.tv/fighter_images/Sean_Omalley/omalley_sean.png
Bantamweight,Alejandro Perez,/fighter/alejandro-perez,//media.ufc.tv/fighter_images/Alejandro_Perez/PEREZ_ALEJANDRO.png
Bantamweight,Steven Peterson,/fighter/steven-Peterson,//media.ufc.tv/fighter_images/Steven_Peterson/PETERSON_STEVEN.png
Bantamweight,Kyler  Phillips,/fighter/kyler-Phillips,//media.ufc.tv/fighter_images/Kyler_Phillips/PHILLIPS_KYLER.png
Bantamweight,Jose Quinonez,/fighter/jose-quinonez,//media.ufc.tv/fighter_images/Jose_Quinonez/QUINONEZ_JOSE.png
Bantamweight,Ricardo Ramos,/fighter/ricardo-ramos,//media.ufc.tv/fighter_images/Ricardo_Ramos/RAMOS_RICARDO.png
Bantamweight,Jimmie Rivera,/fighter/jimmie-rivera,//media.ufc.tv/fighter_images/Jimmie_Rivera/RIVERA_JIMMIE.png
Bantamweight,Frankie Saenz,/fighter/frankie-Saenz,//media.ufc.tv/fighter_images/Frankie_Saenz/SAENZ_FRANKIE.png
Bantamweight,Boston Salmon,/fighter/boston-Salmon,//media.ufc.tv/fighter_images/Boston_Salmon/SALMON_BOSTON.png
Bantamweight,Justin Scoggins,/fighter/justin-Scoggins,//media.ufc.tv/fighter_images/Justin_Scoggins/SCOGGINS_JUSTIN_singapore.png
Bantamweight,Douglas Silva de A...,/fighter/douglas-Silva-de-Andrade,//media.ufc.tv/fighter_images/Douglas_Silva_de_Andrade/SILVA-DE-ANDRADE_DOUGLAS.png
Bantamweight,Ricky Simon,/fighter/ricky-Simon,//media.ufc.tv/fighter_images/Ricky_Simon2/SIMON_RICKY.png
Bantamweight,Joe Soto,/fighter/joe-soto,//media.ufc.tv/fighter_images/Joe_Soto/SOTO_JOE.png
Bantamweight,Andre Soukhamthath,/fighter/andre-Soukhamthath,//media.ufc.tv/fighter_images/Andre_Soukhamthath/SOUKHAMTHATH_ANDRE.png
Bantamweight,Cody Stamann,/fighter/cody-Stamann,//media.ufc.tv/fighter_images/cody_stamann/STAMANN_CODY.png
Bantamweight,Damian Stasiak,/fighter/damian-stasiak,//media.ufc.tv/fighter_images/Damian_Stasiak/STASIAK_DAMIAN.png
Bantamweight,Aljamain Sterling,/fighter/aljamain-Sterling,//media.ufc.tv/fighter_images/Aljamain_Sterling/STERLING_ALJAMAIN.png
Bantamweight,Ricky Turcios,/fighter/ricky-Turcios,//media.ufc.tv/fighter_images/Ricky_Turcios/TURCIOS_RICKY.png
