Category,Name,Url
Featherweight,Makwan Amirkhani,/fighter/makwan-amirkhani
Featherweight,Felipe Arantes,/fighter/felipe-Arantes
Featherweight,Julio Arce,/fighter/julio-Arce
Featherweight,Austin Arnett,/fighter/austin-Arnett
Featherweight,Humberto Bandenay,/fighter/humberto-Bandenay
Featherweight,Renan Barao,/fighter/renan-Barao
Featherweight,Enrique Barzola,/fighter/enrique-barzola
Featherweight,Mirsad Bektic,/fighter/mirsad-Bektic
Featherweight,Gabriel Benitez,/fighter/gabriel-benitez
Featherweight,Dennis Bermudez,/fighter/dennis-Bermudez
Featherweight,Matt Bessette,/fighter/matt-Bessette
Featherweight,Kyle Bochniak,/fighter/kyle-Bochniak
Featherweight,Wuliji Buren,/fighter/wuliji-Buren
Featherweight,Shane Burgos,/fighter/shane-burgos
Featherweight,Martin Buschkamp,/fighter/martin-Buschkamp
Featherweight,Alex Caceres,/fighter/alex-Caceres
Featherweight,Mark Cherico,/fighter/mark-Cherico
Featherweight,Dooho Choi,/fighter/dooho-Choi
Featherweight,Brandon  Davis,/fighter/brandon-Davis
Featherweight,Grant Dawson,/fighter/grant-Dawson
Featherweight,Adrian Diaz,/fighter/adrian-Diaz
Featherweight,Russell Doane,/fighter/russell-Doane
Featherweight,Rolando Dy,/fighter/rolando-Dy
Featherweight,Frankie Edgar,/fighter/frankie-Edgar
Featherweight,Darren Elkins,/fighter/darren-Elkins
Featherweight,Josh Emmett,/fighter/josh-emmett
Featherweight,Andre Fili,/fighter/andre-Fili
Featherweight,Luis Gomez,/fighter/luis-Raul-Gomez
Featherweight,Wang Guan,/fighter/wang-Guan
Featherweight,Clay Guida,/fighter/clay-Guida
Featherweight,Ryan Hall,/fighter/ryan-Hall
Featherweight,Jimy Hettes,/fighter/jim-Hettes
Featherweight,Mizuto Hirota,/fighter/mizuto-hirota
Featherweight,Max Holloway,/fighter/max-Holloway
Featherweight,Kurt Holobaugh,/fighter/kurt-holobaugh
Featherweight,Dan Hooker,/fighter/dan-Hooker
Featherweight,Dan Ige,/fighter/dan-Ige
Featherweight,Teruto Ishihara,/fighter/teruto-ishihara
Featherweight,Rony Jason,/fighter/rony-Jason
Featherweight,Chan Sung Jung,/fighter/chan-Sung-Jung
Featherweight,Myles Jury,/fighter/myles-Jury
Featherweight,Calvin Kattar,/fighter/calvin-Kattar
Featherweight,Jeremy Kennedy,/fighter/jeremy-kennedy
Featherweight,Jason Knight,/fighter/jason-knight
Featherweight,Ricardo Lamas,/fighter/ricardo-Lamas
Featherweight,Thanh  Le,/fighter/thanh-Le
Featherweight,Artem Lobov,/fighter/artem-Lobov
Featherweight,Zabit Magomedshari...,/fighter/zabit-Magomedsharipov
Featherweight,Gray Maynard,/fighter/gray-Maynard
Featherweight,Chad Mendes,/fighter/chad-Mendes
Featherweight,Renato Moicano,/fighter/renato-moicano
Featherweight,Sheymon Moraes,/fighter/sheymon-Moraes
Featherweight,Charles Oliveira,/fighter/charles-Oliveira
Featherweight,Brian Ortega,/fighter/brian-Ortega
Featherweight,BJ Penn,/fighter/BJ-Penn
Featherweight,Godofredo Pepey,/fighter/godofredo-Castro
Featherweight,Peter Petties,/fighter/peter-Petties
Featherweight,Diego Rivas,/fighter/diego-rivas
Featherweight,Yair Rodriguez,/fighter/yair-rodriguez
Featherweight,Charles Rosa,/fighter/charles-rosa
Featherweight,Luke Sanders,/fighter/luke-Sanders
Featherweight,Mike Santiago,/fighter/mike-Santiago
Featherweight,Dennis Siver,/fighter/dennis-Siver
Featherweight,Chas Skelly,/fighter/chas-Skelly
Featherweight,Jeremy Stephens,/fighter/jeremy-Stephens
Featherweight,Lazar  Stojadinovic,/fighter/lazar-Stojadinovic
Featherweight,Cub Swanson,/fighter/cub-Swanson
Featherweight,Gavin Tucker,/fighter/gavin-Tucker
Featherweight,Zubaira Tukhugov,/fighter/zubaira-Tukhugov
Featherweight,Alexander Volkanov...,/fighter/alex-volkanovski
Featherweight,Terrion Ware,/fighter/terrion-Ware
Featherweight,Song Yadong,/fighter/yadong-Song
Featherweight,Shane Young,/fighter/shane-Young
Lightweight,Eddie Alvarez,/fighter/eddie-alvarez
Lightweight,Thiago Alves,/fighter/thiago-Alves
Lightweight,Olivier Aubin-Merc...,/fighter/olivier-Aubin-Mercier
Lightweight,Tae Hyun Bang,/fighter/tae-Hyun-Bang
Lightweight,Edson  Barboza,/fighter/edson-Barboza
Lightweight,Martin Bravo,/fighter/martin-bravo
Lightweight,Will Brooks,/fighter/will-brooks
Lightweight,Damien Brown,/fighter/damien-brown
Lightweight,Mads Burnell,/fighter/mads-Burnell
Lightweight,Gilbert Burns,/fighter/gilbert-Burns
Lightweight,Frank Camacho,/fighter/frank-Camacho
Lightweight,Johnny Case,/fighter/johnny-Case
Lightweight,Michael Chiesa,/fighter/michael-Chiesa
Lightweight,Mitch Clarke,/fighter/mitch-Clarke
Lightweight,Beneil Dariush,/fighter/beneil-Dariush
Lightweight,Marc Diakiese,/fighter/marc-Diakiese
Lightweight,Hacran Dias,/fighter/hacran-Dias
Lightweight,Drew Dober,/fighter/drew-Dober
Lightweight,Joe Duffy,/fighter/joseph-duffy
Lightweight,Evan Dunham,/fighter/evan-Dunham
Lightweight,Joe Ellenberger,/fighter/joe-Ellenberger
Lightweight,Paul Felder,/fighter/paul-felder
Lightweight,Tony Ferguson,/fighter/tony-Ferguson
Lightweight,Diego Ferreira,/fighter/carlos-Diego-Ferreira
Lightweight,Luke Flores,/fighter/luke-Flores
Lightweight,Matt Frevola,/fighter/matt-Frevola
Lightweight,Justin Gaethje,/fighter/justin-Gaethje
Lightweight,Gregor Gillespie,/fighter/gregor-gillespie
Lightweight,Rick Glenn,/fighter/rick-glenn
